date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:10	7428/7428	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0083-1d04-5c8bd4ecd3a00%22	https://intamarque.com/wp-content/uploads/2021/07/3-johnson-johnson.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/3-johnson-johnson.svg	(from https://intamarque.com/)
16:29:11	38834/38834	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:10%20GMT	https://intamarque.com/careers/	C:/My%20Web%20Sites/metropharma/intamarque.com/careers/index.html	(from https://intamarque.com/)
16:29:11	1561/1561	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0085-619-5c8bd4ecd3a00%22	https://intamarque.com/wp-content/uploads/2021/07/4-gillette.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/4-gillette.svg	(from https://intamarque.com/)
16:29:11	47027/47027	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:11%20GMT	https://intamarque.com/buying-from-intamarque/	C:/My%20Web%20Sites/metropharma/intamarque.com/buying-from-intamarque/index.html	(from https://intamarque.com/)
16:29:11	5008/5008	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0089-1390-5c8bd4edc7c40%22	https://intamarque.com/wp-content/uploads/2021/07/5-huggies.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/5-huggies.svg	(from https://intamarque.com/)
16:29:12	1694/1694	---M--	200	added ('OK')	image/svg+xml	etag:%22ec008a-69e-5c8bd4eebbe80%22	https://intamarque.com/wp-content/uploads/2021/07/6-oral-b.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/6-oral-b.svg	(from https://intamarque.com/)
16:29:12	38691/38691	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:11%20GMT	https://intamarque.com/?page_id=17	C:/My%20Web%20Sites/metropharma/intamarque.com/index8db2.html	(from https://intamarque.com/)
16:29:12	43161/43161	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:11%20GMT	https://intamarque.com/how-to-order/	C:/My%20Web%20Sites/metropharma/intamarque.com/how-to-order/index.html	(from https://intamarque.com/)
16:29:12	42788/42788	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:11%20GMT	https://intamarque.com/brands/	C:/My%20Web%20Sites/metropharma/intamarque.com/brands/index.html	(from https://intamarque.com/)
16:29:12	44330/44330	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:12%20GMT	https://intamarque.com/supplying-to-intamarque/	C:/My%20Web%20Sites/metropharma/intamarque.com/supplying-to-intamarque/index.html	(from https://intamarque.com/)
16:29:12	4058/4058	---M--	200	added ('OK')	image/svg+xml	etag:%22ec008d-fda-5c8bd4efb00c0%22	https://intamarque.com/wp-content/uploads/2021/07/7-colgatev2.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/7-colgatev2.svg	(from https://intamarque.com/)
16:29:13	4987/4987	---M--	200	added ('OK')	image/svg+xml	etag:%22ec007d-137b-5c8bd4eaeb580%22	https://intamarque.com/wp-content/uploads/2021/07/1-pampers.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/1-pampers.svg	(from https://intamarque.com/)
16:29:13	37698/37698	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:12%20GMT	https://intamarque.com/brand-distribution/	C:/My%20Web%20Sites/metropharma/intamarque.com/brand-distribution/index.html	(from https://intamarque.com/)
16:29:13	1930/1930	---M--	200	added ('OK')	image/svg+xml	etag:%22ec007f-78a-5c8bd4ebdf7c0%22	https://intamarque.com/wp-content/uploads/2021/07/2-isterine.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/2-isterine.svg	(from https://intamarque.com/)
16:29:13	35787/35787	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:13%20GMT	https://intamarque.com/get-in-touch/	C:/My%20Web%20Sites/metropharma/intamarque.com/get-in-touch/index.html	(from https://intamarque.com/)
16:29:13	6144/6144	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0082-1800-5c8bd4ebdf7c0%22	https://intamarque.com/wp-content/uploads/2021/07/3-head-shoulders.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/3-head-shoulders.svg	(from https://intamarque.com/)
16:29:14	2131/2131	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0086-853-5c8bd4edc7c40%22	https://intamarque.com/wp-content/uploads/2021/07/4-l-oreal.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/4-l-oreal.svg	(from https://intamarque.com/)
16:29:14	3620/3620	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0088-e24-5c8bd4edc7c40%22	https://intamarque.com/wp-content/uploads/2021/07/5-aquafresh.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/5-aquafresh.svg	(from https://intamarque.com/)
16:29:14	2994/2994	---M--	200	added ('OK')	image/svg+xml	etag:%22ec008b-bb2-5c8bd4eebbe80%22	https://intamarque.com/wp-content/uploads/2021/07/6-Path-11840.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/6-Path-11840.svg	(from https://intamarque.com/)
16:29:14	2889/2889	---M--	200	added ('OK')	image/svg+xml	etag:%22ec008e-b49-5c8bd4efb00c0%22	https://intamarque.com/wp-content/uploads/2021/07/7-Group-12875.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/7-Group-12875.svg	(from https://intamarque.com/)
16:29:16	408397/408397	---M--	200	added ('OK')	image/png	etag:%22ec0155-63b4d-5c8bd5391ee00%22	https://intamarque.com/wp-content/uploads/2021/07/intamarque-intelligence.png	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/intamarque-intelligence.png	(from https://intamarque.com/)
16:29:24	569915/569915	---M--	200	added ('OK')	image/jpeg	etag:%22ec027b-8b23b-5c8bd5ca14400%22	https://intamarque.com/wp-content/uploads/2021/08/Drone-Shot-scaled.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/Drone-Shot-scaled.jpg	(from https://intamarque.com/)
16:29:24	838775/838775	---M--	200	added ('OK')	image/jpeg	etag:%22ec02c1-ccc77-5c8bd5eb752c0%22	https://intamarque.com/wp-content/uploads/2021/08/Intamarque-Video-Still-10-logo-1.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/Intamarque-Video-Still-10-logo-1.jpg	(from https://intamarque.com/)
16:29:24	1593718/1593718	---M--	200	added ('OK')	image/jpeg	etag:%22ec02b6-185176-5c8bd5e6b0780%22	https://intamarque.com/wp-content/uploads/2021/08/Intamarque-Video-Still-5.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/Intamarque-Video-Still-5.jpg	(from https://intamarque.com/)
16:29:24	4699/4699	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0038-125b-5c8bd4d21fb00%22	https://intamarque.com/wp-content/uploads/2021/06/Feature-01.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Feature-01.svg	(from https://intamarque.com/)
16:29:25	10230/10230	---M--	200	added ('OK')	image/svg+xml	etag:%22ec01a9-27f6-5c8bd56409340%22	https://intamarque.com/wp-content/uploads/2021/07/products-1.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/products-1.svg	(from https://intamarque.com/)
16:29:25	6079/6079	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00d8-17bf-5c8bd50e348c0%22	https://intamarque.com/wp-content/uploads/2021/07/countries.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/countries.svg	(from https://intamarque.com/)
16:29:25	6222/6222	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00d7-184e-5c8bd50e348c0%22	https://intamarque.com/wp-content/uploads/2021/07/countries-1.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/countries-1.svg	(from https://intamarque.com/)
16:29:25	7220/7220	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00ef-1c34-5c8bd515d5ac0%22	https://intamarque.com/wp-content/uploads/2021/07/global-brands.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/global-brands.svg	(from https://intamarque.com/)
16:29:26	7420/7420	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00eb-1cfc-5c8bd513ed640%22	https://intamarque.com/wp-content/uploads/2021/07/global-brands-1.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/global-brands-1.svg	(from https://intamarque.com/)
16:29:26	9019/9019	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00e0-233b-5c8bd51110f80%22	https://intamarque.com/wp-content/uploads/2021/07/experience.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/experience.svg	(from https://intamarque.com/)
16:29:26	9205/9205	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00df-23f5-5c8bd5101cd40%22	https://intamarque.com/wp-content/uploads/2021/07/experience-1.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/experience-1.svg	(from https://intamarque.com/)
16:29:26	947/947	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0d2f-3b3-5c933a5535560%22	https://intamarque.com/wp-content/themes/intamarque2021/assets/img/leftchev.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/assets/img/leftchev.svg	(from https://intamarque.com/)
16:29:27	957/957	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0d4e-3bd-5c933a5a24c57%22	https://intamarque.com/wp-content/themes/intamarque2021/assets/img/rightchev.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/assets/img/rightchev.svg	(from https://intamarque.com/)
16:29:28	158438/158438	---M--	200	added ('OK')	image/jpeg	etag:%22ec0247-26ae6-5c8bd5b148980%22	https://intamarque.com/wp-content/uploads/2021/08/brand-3.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/brand-3.jpg	(from https://intamarque.com/)
16:29:28	2286/2286	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0073-8ee-5c8bd4e80eec0%22	https://intamarque.com/wp-content/uploads/2021/06/Service-Icon-01.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-Icon-01.svg	(from https://intamarque.com/)
16:29:29	2296/2296	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0074-8f8-5c8bd4e80eec0%22	https://intamarque.com/wp-content/uploads/2021/06/Service-Icon-02.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-Icon-02.svg	(from https://intamarque.com/)
16:29:29	1302670/1302670	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0d51-13e08e-5c933a5c560dc%22	https://intamarque.com/wp-content/themes/intamarque2021/assets/img/services-device.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/assets/img/services-device.svg	(from https://intamarque.com/)
16:29:29	4392/4392	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0075-1128-5c8bd4e903100%22	https://intamarque.com/wp-content/uploads/2021/06/Service-Icon-03.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-Icon-03.svg	(from https://intamarque.com/)
16:29:29	282807/282807	---M--	200	added ('OK')	image/png	etag:%22ec0063-450b7-5c8bd4e161f00%22	https://intamarque.com/wp-content/uploads/2021/06/Service-03.png	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Service-03.png	(from https://intamarque.com/)
16:29:29	223458/223458	---M--	200	added ('OK')	image/jpeg	etag:%22ec029c-368e2-5c8bd5d8625c0%22	https://intamarque.com/wp-content/uploads/2021/08/IM-2.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/08/IM-2.jpg	(from https://intamarque.com/)
